Etiqueta de rotatividade,Duracao da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Media mensal de GB para download,Plano de Dados Ilimitado,Cobrancas extras de dados,Estado,Genero,Idade,Menos de 30,Idoso,Grupo,Numero de Clientes por Grupo,Protecao de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobranca Mensal,Total de Cobrancas,Categoria de Rotatividade,Motivo da Rotatividade
Nao,57,133,285.5,0.0,0.0,Nao,Nao,0.0,1,3,Sim,0,NM,Feminino,42,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,35,2001,,
Nao,71,560,1143.0,0.0,0.0,Nao,Nao,0.0,2,3,Sim,0,NH,Masculino,51,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,56,3977,,
Nao,24,58,141.1,0.0,0.0,Nao,Nao,0.0,1,14,Sim,0,OK,Feminino,23,Sim,Nao,Nao,0,Sim,Mensal,Cartao de Credito,35,834,,
Nao,64,451,963.4,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,WI,Masculino,76,Nao,Sim,Nao,0,Nao,2 Anos,Cartao de Credito,37,2385,,
Nao,37,167,331.8,0.0,0.0,Nao,Nao,0.0,1,5,Sim,0,OK,Feminino,44,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,42,1564,,
Nao,11,35,77.4,0.0,0.0,Nao,Nao,0.0,0,7,Nao,57,ME,Masculino,58,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,16,172,,
Nao,18,50,127.3,0.0,0.0,Nao,Nao,0.0,1,2,Sim,0,HI,Feminino,60,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,53,956,,
Nao,26,74,155.2,0.0,0.0,Nao,Nao,0.0,1,37,Sim,0,AZ,Feminino,25,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,43,1113,,
Nao,9,29,82.6,0.0,0.0,Nao,Nao,0.0,2,0,Nao,0,MI,Masculino,40,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,9,80,,
Nao,67,291,602.3,0.0,0.0,Nao,Nao,0.0,2,0,Nao,0,WV,Feminino,37,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,8,547,,
Nao,8,14,33.8,0.0,0.0,Nao,Nao,0.0,1,12,Sim,0,MI,Masculino,44,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,28,239,,
Nao,3,23,44.2,0.0,0.0,Nao,Nao,0.0,1,0,Nao,0,NM,Feminino,57,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,10,36,,
Nao,2,5,16.9,0.0,0.0,Nao,Nao,0.0,2,8,Sim,0,MO,Feminino,41,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,31,75,,
Nao,19,104,279.3,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,NC,Masculino,40,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,15,278,,
Nao,1,4,9.0,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,PA,Masculino,74,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,16,16,,
Nao,5,9,21.5,0.0,0.0,Nao,Nao,0.0,1,13,Sim,0,DC,Feminino,45,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,21,115,,
Nao,70,536,1119.2,0.0,0.0,Nao,Nao,0.0,2,1,Sim,0,VA,Masculino,39,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,37,2583,,
Nao,72,190,650.2,288.0,1116.0,Sim,Sim,0.0,0,16,Sim,0,KS,Feminino,21,Sim,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,59,4292,,
Nao,16,120,231.0,0.0,0.0,Nao,Nao,0.0,2,3,Sim,0,DC,Masculino,76,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,47,775,,
Nao,29,148,290.3,0.0,0.0,Nao,Nao,0.0,0,3,Nao,7,ME,Masculino,46,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,24,709,,
Nao,61,230,552.3,0.0,0.0,Nao,Nao,0.0,1,6,Sim,0,DC,Masculino,34,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,52,3170,,
Nao,59,334,831.9,236.0,300.9,Sim,Sim,0.0,1,3,Sim,0,NJ,Masculino,49,Nao,Nao,Nao,0,Sim,Anual,Debito Automatico,24,1406,,
Nao,3,4,11.2,0.0,0.0,Nao,Nao,0.0,2,8,Sim,0,DE,Feminino,21,Sim,Nao,Nao,0,Sim,Mensal,Debito Automatico,32,90,,
Nao,8,28,54.3,0.0,0.0,Nao,Nao,0.0,1,1,Sim,0,VT,Feminino,61,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,10,81,,
Nao,74,119,294.2,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,TX,Feminino,36,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,10,722,,
Nao,53,98,263.9,0.0,0.0,Nao,Nao,0.0,0,4,Nao,33,ND,Feminino,67,Nao,Sim,Nao,0,Sim,Anual,Debito Automatico,65,3436,,
Nao,31,160,461.0,0.0,0.0,Nao,Nao,0.0,1,0,Nao,0,MO,Feminino,41,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,11,345,,
Nao,71,129,426.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,CO,Feminino,47,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,13,904,,
Nao,45,84,180.6,0.0,0.0,Nao,Nao,0.0,1,3,Sim,0,DE,Masculino,44,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,27,1212,,
Nao,37,179,404.2,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,VA,Masculino,42,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,48,1781,,
Nao,61,354,913.6,0.0,0.0,Nao,Nao,0.0,2,4,Sim,0,CO,Masculino,49,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,40,2422,,
Nao,3,15,34.1,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,MT,Masculino,46,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,46,120,,
Nao,8,128,130.7,0.0,0.0,Nao,Nao,0.0,2,10,Sim,0,WI,Feminino,67,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,55,445,,
Nao,15,78,166.4,0.0,0.0,Nao,Nao,0.0,1,12,Sim,0,AR,Masculino,84,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,28,422,,
Nao,67,104,266.0,0.0,0.0,Nao,Nao,0.0,0,10,Sim,0,WY,Masculino,42,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,48,3195,,
Sim,51,124,355.9,0.0,0.0,Nao,Nao,0.0,2,30,Sim,0,CA,Masculino,24,Sim,Nao,Nao,0,Sim,Anual,Cartao de Credito,46,2353,,
Nao,14,61,115.2,0.0,0.0,Nao,Nao,0.0,2,4,Sim,0,AK,Masculino,50,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,57,814,,
Nao,71,256,495.1,0.0,0.0,Nao,Nao,0.0,1,2,Sim,0,CO,Feminino,43,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,29,2071,,
Nao,23,136,234.7,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,VT,Masculino,39,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,9,216,,
Nao,67,425,1008.4,0.0,0.0,Nao,Nao,0.0,0,23,Sim,0,ND,Feminino,29,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,34,2314,,
Nao,40,172,323.7,0.0,0.0,Nao,Nao,0.0,1,4,Sim,0,MT,Feminino,77,Nao,Sim,Nao,0,Sim,2 Anos,Debito Automatico,33,1347,,
Nao,37,54,146.4,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WV,Feminino,42,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,10,369,,
Nao,71,335,566.9,0.0,0.0,Nao,Nao,0.0,2,2,Sim,0,CT,Masculino,49,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,37,2588,,
Nao,56,224,674.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,DE,Masculino,58,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,11,619,,
Nao,61,486,857.4,0.0,0.0,Nao,Nao,0.0,1,9,Sim,0,MA,Masculino,26,Sim,Nao,Nao,0,Sim,2 Anos,Debito Automatico,48,2915,,
Nao,1,3,8.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,IN,Feminino,29,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,13,13,,
Nao,2,6,15.1,0.0,0.0,Nao,Nao,0.0,2,2,Sim,0,KS,Feminino,37,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,22,48,,
Nao,54,102,270.1,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,WV,Feminino,81,Nao,Sim,Nao,0,Sim,2 Anos,Cartao de Credito,62,3369,,
Nao,35,154,313.0,0.0,0.0,Nao,Nao,0.0,1,11,Sim,0,NE,Feminino,39,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,33,1142,,
Nao,1,6,14.0,0.0,0.0,Nao,Nao,0.0,2,3,Sim,0,ND,Feminino,42,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,17,17,,
Nao,28,156,420.6,0.0,0.0,Nao,Nao,0.0,1,1,Sim,0,AK,Feminino,34,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,34,957,,
Nao,70,150,350.0,0.0,0.0,Nao,Nao,0.0,1,1,Nao,15,SC,Masculino,67,Nao,Sim,Nao,0,Sim,2 Anos,Cartao de Credito,33,2303,,
Nao,9,48,95.2,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,CO,Feminino,64,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,11,92,,
Nao,43,135,343.4,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,KS,Masculino,53,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,8,334,,
Nao,8,42,91.0,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,MS,Feminino,45,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,16,118,,
Nao,65,213,387.3,0.0,0.0,Nao,Nao,0.0,1,3,Sim,0,MT,Masculino,39,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,50,3229,,
Nao,57,239,568.3,0.0,0.0,Nao,Nao,0.0,1,5,Sim,0,AR,Feminino,38,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,27,1561,,
Nao,72,132,433.6,0.0,0.0,Nao,Nao,0.0,1,4,Sim,0,NH,Feminino,32,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,42,3033,,
Nao,53,125,371.4,0.0,0.0,Nao,Nao,0.0,1,0,Nao,0,HI,Feminino,64,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,9,479,,
Nao,7,17,44.7,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,CO,Masculino,53,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,47,354,,
Nao,48,382,762.0,192.0,556.8,Sim,Sim,0.0,2,7,Sim,0,ID,Masculino,32,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,38,1801,,
Nao,5,20,51.1,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,DC,Masculino,42,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,18,90,,
Nao,61,76,242.7,0.0,0.0,Nao,Nao,0.0,1,2,Sim,0,TN,Masculino,74,Nao,Sim,Nao,0,Sim,2 Anos,Cartao de Credito,32,1925,,
Nao,70,277,767.6,0.0,0.0,Nao,Nao,0.0,2,5,Nao,67,WY,Feminino,57,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,56,3875,,
Nao,43,125,298.6,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,VA,Feminino,62,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,20,840,,
Nao,63,344,943.2,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,SD,Feminino,48,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,45,2838,,
Nao,47,213,521.6,188.0,582.8,Sim,Sim,0.0,1,5,Sim,0,GA,Feminino,76,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,59,2789,,
Nao,58,342,876.7,0.0,0.0,Nao,Nao,0.0,2,1,Sim,0,AZ,Masculino,77,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,57,3305,,
Nao,70,556,1125.0,0.0,0.0,Nao,Nao,0.0,2,12,Sim,0,AK,Feminino,28,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,49,3427,,
Nao,11,64,165.0,0.0,0.0,Nao,Nao,0.0,1,9,Nao,61,CT,Masculino,72,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,22,241,,
Nao,31,64,125.6,0.0,0.0,Nao,Nao,0.0,2,14,Sim,0,UT,Feminino,77,Nao,Sim,Nao,0,Sim,2 Anos,Debito Automatico,28,886,,
Nao,53,133,263.2,0.0,0.0,Nao,Nao,0.0,1,4,Sim,0,KY,Masculino,49,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,21,1115,,
Nao,14,72,169.9,0.0,0.0,Nao,Nao,0.0,0,15,Sim,0,MS,Feminino,21,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,28,401,,
Nao,1,4,11.0,0.0,0.0,Nao,Nao,0.0,1,12,Nao,23,WY,Feminino,61,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,26,26,,
Nao,57,149,340.2,0.0,0.0,Nao,Nao,0.0,1,20,Sim,0,NM,Masculino,24,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,29,1653,,
Nao,69,307,692.9,276.0,903.9,Sim,Sim,0.0,2,5,Sim,0,NJ,Feminino,37,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,38,2609,,
Nao,55,174,438.1,220.0,973.5,Sim,Sim,0.0,1,7,Sim,0,KY,Masculino,72,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,34,1888,,
Nao,17,95,239.1,0.0,0.0,Nao,Nao,0.0,1,10,Sim,0,KS,Feminino,33,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,15,264,,
Nao,9,47,135.5,0.0,0.0,Nao,Nao,0.0,1,3,Nao,5,MI,Masculino,78,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,34,305,,
Nao,55,289,715.1,0.0,0.0,Nao,Nao,0.0,1,6,Sim,0,FL,Masculino,36,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,26,1434,,
Nao,70,153,349.5,0.0,0.0,Nao,Nao,0.0,1,4,Sim,0,LA,Masculino,62,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,46,3237,,
Nao,10,33,68.5,0.0,0.0,Nao,Nao,0.0,2,8,Sim,0,MI,Feminino,25,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,35,346,,
Nao,29,148,382.4,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,CO,Feminino,25,Sim,Nao,Nao,0,Nao,Anual,Cartao de Credito,20,582,,
Nao,68,144,272.8,0.0,0.0,Nao,Nao,0.0,2,12,Nao,9,TX,Feminino,21,Sim,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,29,2000,,
Nao,12,25,59.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,NY,Feminino,29,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,11,130,,
Nao,20,38,99.4,0.0,0.0,Nao,Nao,0.0,2,4,Sim,0,LA,Feminino,47,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,26,518,,
Nao,1,5,16.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,NV,Feminino,41,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,9,9,,
Nao,29,37,116.6,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,NC,Feminino,26,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,48,1399,,
Nao,1,6,13.0,0.0,0.0,Nao,Nao,0.0,1,8,Sim,0,NC,Masculino,33,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,26,26,,
Nao,3,6,18.2,12.0,6.9,Sim,Sim,0.0,0,4,Nao,7,WY,Masculino,65,Nao,Sim,Nao,0,Nao,Mensal,Cartao de Credito,35,92,,
Nao,21,86,293.0,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,TN,Feminino,47,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,31,645,,
Nao,5,18,43.9,20.0,60.0,Sim,Sim,0.0,0,13,Sim,0,PA,Feminino,22,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,15,84,,
Nao,51,197,358.2,0.0,0.0,Nao,Nao,0.0,2,0,Nao,0,WV,Masculino,59,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,9,445,,
Nao,6,25,74.0,0.0,0.0,Nao,Nao,0.0,2,1,Sim,0,NJ,Masculino,58,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,39,224,,
Nao,8,36,71.5,32.0,78.4,Sim,Sim,0.0,2,13,Sim,0,WI,Masculino,26,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,24,191,,
Nao,73,284,806.1,0.0,0.0,Nao,Nao,0.0,1,10,Sim,0,OR,Feminino,24,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,38,2798,,
Nao,69,129,411.8,276.0,469.2,Sim,Sim,0.0,2,8,Sim,0,ND,Masculino,44,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,32,2186,,
Nao,22,31,88.4,0.0,0.0,Nao,Nao,0.0,2,28,Sim,0,LA,Feminino,22,Sim,Nao,Nao,0,Sim,Anual,Debito Automatico,28,624,,
Nao,57,326,904.8,228.0,632.7,Sim,Sim,0.0,1,6,Nao,18,ND,Feminino,58,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,49,2770,,
Nao,34,49,136.8,136.0,408.0,Sim,Sim,0.0,1,0,Nao,0,MS,Masculino,36,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,10,325,,
Nao,54,91,268.5,0.0,0.0,Nao,Nao,0.0,1,7,Sim,0,WI,Masculino,50,Nao,Nao,Nao,0,Sim,Anual,Debito Automatico,34,1805,,
Nao,63,349,888.9,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,MO,Masculino,45,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,60,3825,,
Nao,40,154,516.5,0.0,0.0,Nao,Nao,0.0,2,3,Sim,0,PA,Feminino,54,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,41,1627,,
Nao,33,152,433.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,SD,Masculino,51,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,8,260,,
Nao,34,127,305.3,136.0,289.0,Sim,Sim,0.0,0,2,Sim,0,AZ,Masculino,77,Nao,Sim,Nao,0,Nao,2 Anos,Cartao de Credito,35,1178,,
Nao,19,76,241.0,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,VT,Feminino,75,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,42,787,,
Nao,41,177,495.0,164.0,377.2,Sim,Sim,0.0,0,4,Sim,0,NV,Masculino,51,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,36,1489,,
Nao,10,20,41.3,40.0,155.0,Sim,Sim,0.0,1,6,Sim,0,VA,Feminino,36,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,16,164,,
Nao,57,83,226.4,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,MN,Masculino,60,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,56,3186,,
Nao,55,194,438.1,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,ME,Feminino,58,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,53,2892,,
Nao,47,146,521.2,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WA,Masculino,28,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,7,354,,
Nao,26,179,337.3,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,WV,Masculino,81,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,51,1317,,
Nao,36,139,468.0,144.0,442.8,Sim,Sim,0.0,0,13,Sim,0,OH,Feminino,74,Nao,Sim,Nao,0,Sim,2 Anos,Debito Automatico,18,659,,
Nao,64,349,831.6,0.0,0.0,Nao,Nao,0.0,0,24,Sim,0,DE,Feminino,30,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,26,1635,,
Nao,21,107,213.3,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,FL,Masculino,58,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,47,1009,,
Nao,12,71,149.1,0.0,0.0,Nao,Nao,0.0,0,10,Sim,0,AK,Feminino,39,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,29,358,,
Nao,76,262,535.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WA,Masculino,67,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,9,681,,
Nao,31,49,155.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,KY,Feminino,49,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,9,267,,
Nao,7,22,68.0,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,UT,Masculino,68,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,45,305,,
Nao,56,282,731.3,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,NM,Feminino,69,Nao,Sim,Nao,0,Sim,2 Anos,Debito Automatico,34,1908,,
Nao,65,308,712.1,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,MN,Masculino,44,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,28,1821,,
Nao,29,226,381.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WV,Masculino,47,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,7,209,,
Nao,72,362,1006.5,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,AL,Feminino,75,Nao,Sim,Nao,0,Sim,2 Anos,Cartao de Credito,49,3536,,
Nao,1,3,7.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,PA,Masculino,34,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,13,13,,
Nao,11,34,76.2,0.0,0.0,Nao,Nao,0.0,0,4,Nao,68,DE,Masculino,43,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,16,176,,
Nao,61,138,306.2,244.0,634.4,Sim,Sim,0.0,0,3,Sim,0,IL,Feminino,77,Nao,Sim,Nao,0,Sim,2 Anos,Debito Automatico,37,2271,,
Nao,25,44,101.8,0.0,0.0,Nao,Nao,0.0,0,38,Sim,0,FL,Masculino,26,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,30,776,,
Nao,2,9,21.4,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,HI,Masculino,68,Nao,Sim,Nao,0,Sim,2 Anos,Cheque,29,63,,
Nao,64,249,514.2,256.0,921.6,Sim,Sim,0.0,0,5,Sim,0,CO,Masculino,48,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,37,2374,,
Nao,6,19,53.5,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,SC,Masculino,36,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,50,295,,
Nao,30,47,118.7,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,IN,Masculino,84,Nao,Sim,Nao,0,Nao,Anual,Cartao de Credito,13,381,,
Nao,51,398,819.3,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,FL,Feminino,39,Nao,Nao,Nao,0,Sim,Anual,Debito Automatico,40,2049,,
Nao,61,358,608.0,0.0,0.0,Nao,Nao,0.0,0,12,Sim,0,GA,Masculino,24,Sim,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,26,1569,,
Nao,73,383,942.6,292.0,664.3,Sim,Sim,0.0,0,15,Sim,0,NC,Masculino,29,Sim,Nao,Nao,0,Sim,2 Anos,Debito Automatico,70,5101,,
Nao,1,2,7.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,DC,Feminino,45,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,12,12,,
Nao,12,82,184.9,0.0,0.0,Nao,Nao,0.0,0,6,Nao,42,VT,Feminino,32,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,45,558,,
Nao,11,40,113.0,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,NE,Masculino,83,Nao,Sim,Nao,0,Nao,2 Anos,Cartao de Credito,37,419,,
Nao,61,281,790.7,0.0,0.0,Nao,Nao,0.0,0,21,Sim,0,ME,Feminino,29,Sim,Nao,Nao,0,Sim,Mensal,Debito Automatico,61,3730,,
Nao,1,3,9.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,KS,Feminino,27,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,13,13,,
Nao,63,211,505.5,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,WI,Feminino,48,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,60,3797,,
Nao,20,75,241.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,AL,Masculino,67,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,12,251,,
Nao,11,59,126.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,HI,Masculino,24,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,10,101,,
Nao,69,516,1041.6,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MO,Feminino,45,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,15,1075,,
Sim,44,291,699.5,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,CA,Feminino,77,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,26,1151,,
Nao,65,148,392.4,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,NV,Feminino,44,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,37,2389,,
Nao,10,20,48.3,40.0,84.0,Sim,Sim,0.0,0,0,Nao,0,NE,Masculino,23,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,10,98,,
Nao,5,27,76.4,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,MA,Masculino,65,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,29,136,,
Nao,23,155,348.4,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,WA,Masculino,32,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,23,527,,
Nao,70,266,561.0,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,HI,Masculino,23,Sim,Nao,Nao,0,Sim,Anual,Cartao de Credito,34,2363,,
Nao,72,257,579.7,0.0,0.0,Nao,Nao,0.0,0,24,Sim,0,FL,Masculino,23,Sim,Nao,Nao,0,Sim,2 Anos,Debito Automatico,39,2802,,
Nao,72,143,288.4,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,WY,Masculino,53,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,31,2258,,
Nao,13,36,94.5,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,DE,Masculino,78,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,49,665,,
